port,bytes,packets
80,3570,2
53,479,40
22,3694,42
443,2517,1
53,2293,4
22,32510,221
53,3301,11
3306,4380,45
53,727,40
443,3545,4
80,1590,19
22,251,46
53,1770,6
443,4264,17
53,3564,16
22,31661,186
53,280,6
21,3026,61
22,2378,38
80,267936,1333
3306,1478,42
443,647,35
22,4662,13
53,4133,6
110,2162,113
22,29868,206
3306,687,36
22,2658,35
3306,2274,19
80,3528,34
3306,3796,30
22,1471,40
53,2906,43
22,2497,33
80,1300,36
443,4735,34
22,826,6
443,4687,2
80,1745,18
3306,4239,33
22,3301,50
22,3003,7
3306,506,24
53,2205,2
443,3387,26
53,3444,47
22,1539,41
443,570104,569
443,2726,47
3306,2861,6
22,4654,49
3306,348,41
443,194,19
53,4026,2
22,284,50
53,3413,27
80,3725,41
22,42180,211
22,55122,237
53,4822,2
443,1449,44
22,3958,39
22,1963,22
3306,4274,4
80,1451,6
22,1447,9
80,4677,22
22,2029,33
80,4136,3
3306,1339,41
80,196560,1492
3306,3825,49
443,843,18
22,4385,45
22,173,10
22,1787,41
80,3186,9
22,3065,49
443,4329,2
22,58072,214
3306,3307,15
3306,199,23
3306,624,8
80,1099,44
3306,4321,21
443,1795,7
443,2028,6
443,4818,13
443,3737,7
443,3087,45
3306,4873,16
80,3393,5
3306,1238,16
443,2141,47
80,145938,967
22,39045,231
80,136093,909
80,321,32
3306,2052,37
3306,3581,18
53,3334,33
22,3453,34
443,1978,35
443,1617,43
3306,3468,33
80,988,23
80,2990,15
80,4754,24
53,280,28
3306,2332,26
443,4688,5
80,318,17
53,3378,35
53,1148,31
22,2266,22
53,697,26
22,36670,236
443,425370,302
443,1250,45
443,2481,36
143,1947,113
3306,2878,23
443,457031,442
443,548,48
443,2557,49
20,2393,78
3306,1075,10
80,4872,24
53,4830,45
80,554,20
443,2130,34
53,1412,23
443,3458,29
22,3460,10
22,4370,8
53,954,3
53,4567,14
22,1713,106
53,2439,20
80,4992,1
22,4895,31
22,358,44
22,4395,35
80,134064,1197
3306,2537,1
80,256367,1032
443,1098,11
22,968,43
3306,2700,7
53,4549,13
3306,1766,20
22,1616,7
22,37493,231
53,4477,25
80,227454,1249
3306,2326,34
23,2115,85
53,4968,31
22,2794,3
143,4207,91
80,4307,3
80,245283,916
3306,963,6
443,2315,24
80,1653,4
